Twilight,Stephenie Meyer,,,SERIES,Twilight,1.0,PAPERBACK,READ
New Moon,Stephenie Meyer,,,SERIES,Twilight,2.0,PAPERBACK,READ
Eclipse,Stephenie Meyer,,,SERIES,Twilight,3.0,PAPERBACK,READ
Breaking Dawn,Stephenie Meyer ,,,SERIES,Twilight,4.0,PAPERBACK,READ
The Second Life Of Bree Tanner,Stephenie Meyer,,,SERIES,Twilight,3.5,HARDCOVER,UNREAD
Republic,Plato,,,STANDALONE,,0.0,PAPERBACK,READ
The Portrait Of Dorian Grey,Oscar Wilde,Classic,Horror; Psychological; Gothic; Dark Academia,STANDALONE,,0.0,PAPERBACK,READ
